SKU,Product,Product additional attribute 6,Required by,PO #,PO date,Status,Product additional attribute 8,Supplier,Quantity,Cost,Total
9044,3pt 22.60 (0.890) Crease SNN COIL,,,P23-2729,29-Jan-2026,Completed,FALSE,Martin Miller (Voestalpine),200.00,1.4097517,281.97
9044,3pt 22.60 (0.890) Crease SNN COIL,,,P23-3143,20-Aug-2026,Fully billed,FALSE,Martin Miller (Voestalpine),210.00,1.3650291,286.66
9044,3pt 22.60 (0.890) Crease SNN COIL,,15-May-2026,P23-2861,13-Apr-2026,Completed,FALSE,Martin Miller (Voestalpine),140.00,1.3830007,193.62
9046,3pt 23.10 (0.909) Crease SNN COIL C/WISE,False,,P23-3001,16-Jun-2026,Fully billed,FALSE,Martin Miller (Voestalpine),140.00,1.3643252,191.01
9046,3pt 23.10 (0.909) Crease SNN COIL C/WISE,False,,P23-3002,16-Jun-2026,Completed,FALSE,Martin Miller (Voestalpine),140.00,1.3817879,193.43
9046,3pt 23.10 (0.909) Crease SNN COIL C/WISE,False,,P23-3003,16-Jun-2026,Completed,FALSE,Martin Miller (Voestalpine),140.00,1.3807332,193.30
9046,3pt 23.10 (0.909) Crease SNN COIL C/WISE,False,,P23-3142,20-Aug-2026,Fully billed,FALSE,Bohler (Voestalpine),140.00,1.3649821,191.10
9046,3pt 23.10 (0.909) Crease SNN COIL C/WISE,False,,P23-3143,20-Aug-2026,Fully billed,FALSE,Martin Miller (Voestalpine),"2,021.00",1.3641767,"2,757.00"
9046,3pt 23.10 (0.909) Crease SNN COIL C/WISE,False,15-Oct-2025,P23-2466,29-Sep-2025,Completed,FALSE,Bohler (Voestalpine),140.00,1.4840110,207.76
9046,3pt 23.10 (0.909) Crease SNN COIL C/WISE,False,15-May-2026,P23-2861,13-Apr-2026,Completed,FALSE,Martin Miller (Voestalpine),140.00,1.3830007,193.62
9047,4pt 23.10 (0.909) Crease SNN COIL C/WISE,False,,P23-3001,16-Jun-2026,Fully billed,FALSE,Martin Miller (Voestalpine),200.00,1.7788733,355.79
9047,4pt 23.10 (0.909) Crease SNN COIL C/WISE,False,,P23-3003,16-Jun-2026,Completed,FALSE,Martin Miller (Voestalpine),300.00,1.8003950,540.13
9047,4pt 23.10 (0.909) Crease SNN COIL C/WISE,False,15-Oct-2025,P23-2466,29-Sep-2025,Completed,FALSE,Bohler (Voestalpine),100.00,1.9349412,193.49
9078,2pt 23.30 (.917) A UNI Autoflex COIL C/WISE,False,,P23-2467,29-Sep-2025,Completed,FALSE,Martin Miller (Voestalpine),600.00,1.6535212,992.11
9078,2pt 23.30 (.917) A UNI Autoflex COIL C/WISE,False,,P23-2729,29-Jan-2026,Completed,FALSE,Martin Miller (Voestalpine),"4,820.00",1.5699752,"7,567.61"
9078,2pt 23.30 (.917) A UNI Autoflex COIL C/WISE,False,,P23-2730,30-Jan-2026,Completed,FALSE,Martin Miller (Voestalpine),"1,400.00",1.5720793,"2,201.01"
9078,2pt 23.30 (.917) A UNI Autoflex COIL C/WISE,False,,P23-2731,30-Jan-2026,Completed,FALSE,Martin Miller (Voestalpine),"1,500.00",1.5718942,"2,357.94"
9078,2pt 23.30 (.917) A UNI Autoflex COIL C/WISE,False,,P23-2863,13-Apr-2026,Completed,FALSE,Martin Miller (Voestalpine),"1,250.00",1.5393048,"1,924.03"
9078,2pt 23.30 (.917) A UNI Autoflex COIL C/WISE,False,,P23-3001,16-Jun-2026,Fully billed,FALSE,Martin Miller (Voestalpine),"1,100.00",1.5194702,"1,671.50"
9078,2pt 23.30 (.917) A UNI Autoflex COIL C/WISE,False,,P23-3002,16-Jun-2026,Completed,FALSE,Martin Miller (Voestalpine),"1,200.00",1.5376893,"1,845.31"
9078,2pt 23.30 (.917) A UNI Autoflex COIL C/WISE,False,,P23-3003,16-Jun-2026,Completed,FALSE,Martin Miller (Voestalpine),600.00,1.5365544,921.97
